species,temperature,light,growthrate
Fragilaria,10,152.5253,0.1725275
Fragilaria,10,183.8384,0.1384615
Fragilaria,10,213.1313,0.08571429
Fragilaria,10,282.8283,0.06043956
Fragilaria,10,382.8283,0.07912088
Fragilaria,10,402.0202,0.04285714
Fragilaria,10,521.2121,0.05604396
Fragilaria,10,622.2222,-0.03186813
Fragilaria,10,691.9192,-0.01208791
Fragilaria,15,19.19192,0.2010989
Fragilaria,15,43.43434,0.2263736
Fragilaria,15,63.63636,0.2659341
Fragilaria,15,93.93939,0.2758242
Fragilaria,15,130.303,0.2857143
Fragilaria,15,154.5455,0.2714286
Fragilaria,15,184.8485,0.1912088
Fragilaria,15,215.1515,0.1659341
Fragilaria,15,284.8485,0.1395604
Fragilaria,15,383.8384,0.1285714
Fragilaria,15,404.0404,0.1010989
Fragilaria,15,523.2323,0.02527473
Fragilaria,15,623.2323,0.002197802
Fragilaria,15,692.9293,0.002197802
Fragilaria,20,17.17172,0.1813187
Fragilaria,20,40.40404,0.2934066
Fragilaria,20,60.60606,0.3846154
Fragilaria,20,90.90909,0.4065934
Fragilaria,20,128.2828,0.4296703
Fragilaria,20,151.5152,0.4208791
Fragilaria,20,181.8182,0.4120879
Fragilaria,20,213.1313,0.3769231
Fragilaria,20,282.8283,0.3087912
Fragilaria,20,382.8283,0.289011
Fragilaria,20,402.0202,0.2208791
Fragilaria,20,521.2121,0.1725275
Fragilaria,20,621.2121,0.06923077
Fragilaria,20,690.9091,0.08571429
Fragilaria,25,11.29653,0.1692857
Fragilaria,25,40.05135,0.3642857
Fragilaria,25,60.5905,0.4339286
Fragilaria,25,90.37227,0.4896429
Fragilaria,25,128.3697,0.5303571
Fragilaria,25,153.0167,0.5603571
Fragilaria,25,182.7985,0.5367857
Fragilaria,25,212.5802,0.5796429
Fragilaria,25,281.3864,0.4510714
Fragilaria,25,381.0013,0.405
Fragilaria,25,401.5404,0.3664286
Fragilaria,25,523.7484,0.3932143
Fragilaria,25,624.3902,0.3107143
Fragilaria,25,693.1964,0.1403571
Fragilaria,30,16.43132,0.2646429
Fragilaria,30,42.10526,0.3482143
Fragilaria,30,61.61746,0.3225
Fragilaria,30,92.42619,0.3664286
Fragilaria,30,128.3697,0.3728571
Fragilaria,30,153.0167,0.4135714
Fragilaria,30,183.8254,0.4328571
Fragilaria,30,212.5802,0.4071429
Fragilaria,30,283.4403,0.3642857
Fragilaria,30,382.0282,0.2067857
Fragilaria,30,401.5404,0.2185714
Fragilaria,30,523.7484,0.1725
Fragilaria,30,625.4172,0.1478571
Fragilaria,30,693.1964,0.01607143
Fragilaria,35,11.29653,0.1510714
Fragilaria,35,35.94352,0.2121429
Fragilaria,35,57.50963,0.1746429
Fragilaria,35,86.26444,0.1853571
Fragilaria,35,122.208,0.1607143
Fragilaria,35,147.8819,0.1542857
Fragilaria,35,176.6367,0.02464286
Fragilaria,35,208.4724,0.1467857
Fragilaria,35,276.2516,0.0075
Fragilaria,35,376.8935,0.006428571
Fragilaria,35,397.4326,0.006428571
Fragilaria,35,518.6136,0.005357143
Fragilaria,35,620.2824,0.004285714
Fragilaria,35,691.1425,0.004285714
